id	label	x	y	weight<Amount of Abstracts>
0	Radiologie und Nuklearmedizin	8	0	2
1	Wissenschaftsgeschichte	26	0	1
2	Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)	27	0	8
3	Geschichtswissenschaften	37	0	1
4	Organismische Neurobiologie	49	0	1
5	Grundlagen des Rechts und der Rechtswissenschaft	9	1	1
6	Religionswissenschaft und Judaistik	37	1	2
7	Alte Geschichte	38	1	1
8	Polymerforschung	0	2	1
9	Ur- und Frühgeschichte (weltweit)	6	2	2
10	Neuere deutsche Literatur	29	2	7
11	Mittelalterliche Geschichte	37	2	2
12	Ethnologie und Europäische Ethnologie	13	3	1
13	Humangeographie	2	4	1
14	Strafrecht, Strafprozessrecht	13	4	1
15	Politikwissenschaft	0	6	2
16	Einzelsprachwissenschaften	43	6	2
17	Musikwissenschaften	14	7	2
18	Kunst-, Musik-, Theater- und Medienwissenschaften	24	7	1
19	Ägyptische und Vorderasiatische Altertumswissenschaften	42	7	1
20	Geochemie, Mineralogie und Kristallographie	0	8	3
21	Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen	33	8	1
22	Klassische Archäologie	11	9	1
23	Europäische und Amerikanische Literaturen	34	9	3
24	Pathologie	49	9	1
25	Theater- und Medienwissenschaften	18	11	3
26	Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung	4	12	1
27	Kunstgeschichte	19	12	1
28	Asienbezogene Wissenschaften	46	12	4
29	Ältere deutsche Literatur	18	13	4
30	Physik, Chemie und Biologie des Meeres	7	14	1
31	Klassische Philologie	19	14	2
32	Islamwissenschaften, Arabistik, Semitistik	29	14	1
33	Empirische Sozialforschung	30	14	3
34	Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen	45	14	2
35	Evolution und Systematik der Pflanzen und Pilze	2	16	1
36	Historische Linguistik	38	16	1
37	Theoretische Philosophie	10	17	1
38	Geschichte der Philosophie	48	17	1
39	Klinische Neurowissenschaften III - Augenheilkunde	14	18	1
40	Mathematik	23	18	1
41	Allgemeine Theoretische Chemie	36	19	1
42	Präparative und Physikalische Chemie von Polymeren	39	19	2
43	Zoologie	6	20	1
44	Rechnerarchitekturen und eingebettete Systeme	39	20	1
45	Theoretische Informatik	40	20	1
46	Kardiologie, Angiologie	15	21	1
47	Sozialpsychologie und Arbeits- und Organisationspsychologie	41	21	1
48	Chemische Festkörper- und Oberflächenforschung	11	22	1
49	Tierzucht, Tierhaltung und Tierhygiene	25	24	1
50	Zahnheilkunde; Mund-, Kiefer- und Gesichtschirurgie	28	24	1
51	Neurowissenschaft	43	24	2
52	Biologische Chemie und Lebensmittelchemie	0	25	2
